num_leaves	num_iterations	learning_rate	feature_fraction	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	iter
622	2736	0.0305113124380518	0.464947350552127	6	0.938705038161577	59			133.585999999996	-0.000141317732476547		0.13799999999901	infill_ei	0.472000000001572	0.000861562378195079	0.938133588264286	79
939	1874	0.0666212052092916	0.609264988480612	11	0.938665279573663	39			99.2410000000018	-0.000802843559195738		0.0849999999991269	infill_ei	0.434000000001106	0.00167917087812327	0.938174741011046	59
492	2670	0.0155043156546433	0.571295449176515	1	0.93865841081866	56			254.317000000003	-0.000248952829023868		0.171999999998661	infill_ei	0.4629999999961	0.00191392975210027	0.93722057400983	76
258	2498	0.0100563731341675	0.436031414649515	1	0.938507635692762	58			311.192999999999	-0.000175349770846145		0.189999999995052	infill_ei	0.465000000003784	0.00101772411191145	0.938067984095506	78
555	2516	0.0226513046321445	0.464954626396056	4	0.93847257993959	60			197.342000000004	-0.000495411222776429		0.0710000000035507	infill_ei	0.468000000000757	0.000701469826922421	0.939064319741713	80
919	1451	0.0703280516030958	0.607392368899506	25	0.937923774575341	34			113.643000000004	-0.000428574439260981		0.141999999999825	infill_ei	0.419999999998254	0.00166604856638478	0.936200049222057	54
303	2376	0.0402596037391321	0.624981160902529	1	0.937864134603422	49			110.848999999995	-0.000518174817626439		0.110999999997148	infill_ei	0.448000000003958	0.00182492931697269	0.938198090859703	69
987	2754	0.0678959272635488	0.645120180136926	14	0.937803620458894	51			104.565000000002	-0.000137732321579436		0.161000000000058	infill_ei	0.449000000000524	0.000959372996065122	0.937996431722574	71
827	2396	0.0634414092681944	0.615987491817054	15	0.937744642704175	43			115.218000000001	-0.000576365274664789		0.190000000002328	infill_ei	0.44100000000617	0.000783097307375812	0.939099515788869	63
760	2968	0.063419030399619	0.611057026626878	16	0.93753459262754	42			101.299999999996	-0.000270755392504387		0.0709999999962747	infill_ei	0.432999999997264	0.00147837634860493	0.937853886228182	62
356	1789	0.0209654228073377	0.587538825278027	14	0.937483861882581	47			156.457999999999	-2.97771252060344e-05		0.252000000000407	infill_ei	0.444999999999709	0.00204071787052408	0.935009759155349	67
975	2153	0.063100595353396	0.519426742686805	20	0.937479108100069	35			111.113000000005	-0.000192087116969211		0.151000000005297	infill_ei	0.424999999995634	0.00148270054883092	0.936801134534305	55
343	2971	0.0338280524512001	0.59965074456857	11	0.937343530303671	52			104.558000000005	-0.000246302652275369		0.222999999998137	infill_ei	0.459000000002561	0.00102455156635273	0.938284632713131	72
151	2186	0.0110850656312705	0.310288702926483	3	0.93685309670135	57			217.382999999994	-8.13913517564483e-05		0.0930000000007567	infill_ei	0.466000000000349	0.00206320700683858	0.935845669923511	77
965	1319	0.053477036345515	0.539100348489937	26	0.936821563589637	38			151.366999999998	-0.000493378795245868		0.178999999996449	infill_ei	0.427999999999884	0.000757328430196771	0.938250795856707	58
479	2498	0.0763511739330341	0.866491383381411	9	0.936741907850568	29			76.0599999999977	-8.56811834281312e-05		0.0979999999981374	infill_ei	0.408000000003085	0.00107503875640362	0.935597162691912	49
1025	952	0.0807673982975206	0.786125225294545	6	0.936697133439015	25			92.2999999999956	-0.000776897641015656		0.0810000000055879	infill_ei	0.402000000001863	0.00202938742918124	0.936303642233748	45
171	2521	0.0100026216522483	0.783858052898168	2	0.936680203701372	55			301.065999999999	-0.000324028948705549		0.109000000004016	infill_ei	0.459999999999127	0.00275809387620247	0.936423021108637	75
1166	989	0.0765443141098023	0.5513637760722	13	0.936582972677943	37			96.7280000000028	-0.000706557285573022		0.0400000000008731	infill_ei	0.426999999996042	0.00179698913053004	0.937903003482503	57
315	917	0.0521699377941353	0.931718925511968	17	0.936479259390973	45			97.1789999999964	-0.000534749204245062		0.153999999994994	infill_ei	0.442000000002736	0.00243058718024581	0.937618244330233	65
831	1357	0.102878200495044	0.826175402480025	17	0.936369927504894	10			68.2980000000025	-0.000260444854372364		0.0179999999963911	infill_ei	0.371999999995751	0.000242762962076384	0.93569464433089	30
123	2516	0.0636371132783045	0.627668071132302	2	0.936338948581639	41			73.6059999999998	-0.000557498367752814		0.0349999999962165	infill_ei	0.436999999998079	0.00226223214264563	0.937862921997993	61
1005	1866	0.076639956568945	0.623359696716832	50	0.936329815479866	40			127.722999999998	-0.000329492569516934		0.114999999997963	infill_ei	0.428999999996449	0.00113024575729689	0.938397213035827	60
826	1286	0.0663009227981482	0.432473542657723	7	0.936232308384673	33			88.8689999999988	-0.000684455856667253		0.0800000000017462	infill_ei	0.421999999998661	0.00181814978328826	0.936658624241834	53
519	2193	0.0524405341070527	0.946320187518505	12	0.936121326737653	32			113.235000000001	-0.00104507092870118		0.137000000002445	infill_ei	0.419999999998254	0.00177399229835865	0.937337560605582	52
925	2926	0.0324186993479568	0.778455117801399	3	0.93611587835031	53			189.837	-0.000660952708579561		0.113000000004831	infill_ei	0.45499999999447	0.00272174206584551	0.937672727431169	73
428	2328	0.0871995543158641	0.851389246348616	2	0.935936247061486	30			72.2050000000018	-0.000332423408448925		0.109000000004016	infill_ei	0.415999999997439	0.00051935918433908	0.936957247839262	50
1168	704	0.0790234924907992	0.840272979310455	3	0.935853120676384	18			86.5490000000064	-9.43397890470575e-05		0.0390000000043074	infill_ei	0.394999999996799	0.00189338368262935	0.933989476952033	38
351	1050	0.0991499178322366	0.837520416851221	21	0.935815563491314	12			59.987000000001	-0.00060833517379806		0.0279999999984284	infill_ei	0.377000000000407	0.00105360826252909	0.936704025840026	32
1167	898	0.0695235448235683	0.747764849574657	2	0.935780072710753	28			107.521999999997	-0.00047994626142867		0.0649999999950524	infill_ei	0.411000000000058	0.000933992953353408	0.936895125687407	48
831	1077	0.100599463537757	0.831221207437917	24	0.935743623607253	20			81.1229999999996	-0.000581653373944446		0.0539999999964493	infill_ei	0.398000000001048	0.000312703861780643	0.936947622651916	40
220	1037	0.0416425590399758	0.583577389885019	9	0.93557519403586	54			86.4689999999973	-7.31586001432635e-05		0.26299999999901	infill_ei	0.463999999999942	0.0013461735571548	0.937029048128154	74
136	483	0.028407860041977	0.856070026004803	2	0.935458231963879	50			56.5120000000024	-0.000638382418589941		0.0519999999960419	infill_ei	0.451999999997497	0.00276585563475401	0.937561901169129	70
738	1308	0.121078197635566	0.81655580355122	2	0.935454910579191	1			54.5180000000037	-0.000454773479079938		0.0149999999994179	infill_ei	0.331000000005588	0.00113191932273819	0.931676913602923	21
623	1839	0.0993878733966386	0.835325931084302	19	0.935304206398583	22			65.3610000000044	-0.000131719002275446		0.114999999997963	infill_ei	0.403000000005704	0.000524599989865967	0.936190566162717	42
936	2227	0.0731014919698195	0.380990650599293	1	0.935280205864613	36			80.0380000000005	-0.000580209794480925		0.0529999999998836	infill_ei	0.422000000005937	0.00111303713963936	0.93817380554619	56
