Feature	Gain	Cover	Frequency
ctrx_quarter	0.213273244389124	0.0175721918147433	0.0173851874183499
mpasivos_margen	0.0972054020624562	0.0178024280351764	0.0199477439453321
mcaja_ahorro	0.0739616088705022	0.0114318157608235	0.0151743543362476
cpayroll_trx	0.0556835011359639	0.00514837733337136	0.00236157170133655
mtarjeta_visa_consumo	0.0350806519916939	0.00815104135907373	0.0104512109335745
mpayroll	0.0315846904505225	0.00394102936205679	0.00211034066927947
mprestamos_personales	0.0306201131185205	0.00911712847407864	0.00522560546678726
mcuentas_saldo	0.0268792665856034	0.0132806603002525	0.0187418349914581
Visa_msaldototal	0.0212657489190638	0.00606410793194263	0.00854185508994071
mrentabilidad_annual	0.0166034913457379	0.0209713935730895	0.0244699025223596
mcuenta_corriente	0.0126826005505752	0.0172026392944963	0.0212038991056175
ctarjeta_visa_transacciones	0.0121690440249449	0.00992647353288528	0.0129132750477339
Visa_mpagominimo	0.0120670139900579	0.0155905396460422	0.0180383881016983
mactivos_margen	0.0118671622770777	0.0152634417443104	0.0191940508491609
cliente_edad	0.0115048402328691	0.0247311162997102	0.0278866445583358
Master_Fvencimiento	0.0109398446062444	0.0197124530173452	0.0257763038890564
Master_fechaalta	0.00995535872100352	0.0233742457575762	0.0262285197467591
Visa_fechaalta	0.00992642341607079	0.0127934609185501	0.0193950356748066
numero_de_cliente	0.00864658290058583	0.0237231634404957	0.0274344287006331
cdescubierto_preacordado	0.0083314147025463	0.00613944938162006	0.0031655110039192
mrentabilidad	0.00815113766462201	0.0177609069055124	0.0200984825645664
Visa_status	0.00783448676356479	0.0198555987042842	0.00864234750276354
cliente_antiguedad	0.00759517364689029	0.0217741811094023	0.0217566073761431
Visa_Fvencimiento	0.0072309026462887	0.019378929379781	0.0226610390915486
Master_mfinanciacion_limite	0.00705904878554457	0.00948550741138456	0.014973369510602
chomebanking_transacciones	0.00666872917601002	0.0130018641033898	0.0171842025927043
Visa_msaldopesos	0.00583282046523839	0.00428489029989316	0.00698422269118682
mtarjeta_master_consumo	0.00580198404833603	0.00317864352618116	0.00231132549492513
mttarjeta_visa_debitos_automaticos	0.00546154858287723	0.0108768386506708	0.0124108129836197
Visa_mpagospesos	0.00529749681081061	0.0125222500286608	0.0148728770977791
ctarjeta_master	0.00526213868739528	0.00151511261834826	0.0012561551602854
mtransferencias_recibidas	0.00496270735054271	0.0128216000216282	0.014370415033665
Visa_cconsumos	0.0048249977839354	0.00693270737900745	0.0114058888553914
cprestamos_personales	0.00464230496365341	0.001109932255862	0.000803939302582655
mcomisiones	0.00462882332728454	0.00756184250976669	0.0124108129836197
thomebanking	0.00461518911663746	0.00491297189475625	0.00542659029243292
Visa_mfinanciacion_limite	0.0045678226469557	0.00758074253475049	0.0117073660938599
Visa_mconsumospesos	0.00431283906684057	0.00854157901165329	0.0129635212541453
cproductos	0.00413776652456802	0.00930946391106161	0.00904431715405487
tcallcenter	0.00404681351630986	0.00313917796547623	0.00165812481157673
mcomisiones_otras	0.00394681842238725	0.00681798860509662	0.0115063812682142
mcaja_ahorro_dolares	0.00375481930348933	0.00975381028468634	0.0105517033463973
mrentabilidad_annual_lag1	0.00372966115580824	0.00630539188878775	0.00607979097578133
Master_mpagominimo	0.00363423138699402	0.00364503046152109	0.00432117375138177
Visa_mlimitecompra	0.00359456913215227	0.00860022331855681	0.00964727163099186
mcomisiones_otras_lag1	0.00358395386334689	0.00501466916191329	0.00406994271932469
mrentabilidad_annual_delta1	0.00350768077422177	0.0124023211372592	0.00999899507587177
mcomisiones_mantenimiento	0.00350232630822263	0.00587440595600273	0.00768766958094664
mcuentas_saldo_delta1	0.0034604621074281	0.00776794132151945	0.00633102200783841
Master_status	0.00336567108672911	0.00594772970645131	0.0034669882423877
Master_mlimitecompra	0.00330212478894404	0.00404453490883429	0.00688373027836398
mautoservicio	0.00296803889921829	0.00648237720930255	0.00582855994372425
mactivos_margen_delta1	0.00292062153823194	0.00938769103418571	0.00743643854888956
ctrx_quarter_delta1	0.00289589188018688	0.0117257712107138	0.00889357853482062
ccomisiones_mantenimiento_lag1	0.00264900273174379	0.00151817703692181	0.00206009446286805
mpagomiscuentas	0.00264369889996965	0.00435244611172412	0.00351723444879912
cmobile_app_trx	0.00261378524021982	0.003346868063295	0.00422068133855894
mrentabilidad_delta1	0.00260589360127739	0.0109000270439105	0.00989850266304894
mcuenta_corriente_lag1	0.00248761278425235	0.00603550378857681	0.00577831373731283
chomebanking_transacciones_lag1	0.00237901294718483	0.00722136144535703	0.00633102200783841
mprestamos_personales_lag1	0.00229387889961844	0.000507314646330632	0.000653200683348407
ccuenta_debitos_automaticos	0.00224458387403462	0.00267545895263392	0.0025123103205708
mtransferencias_emitidas	0.00223277708330088	0.00489260252423792	0.00542659029243292
ccomisiones_otras	0.00219069098819003	0.00421299196609199	0.00592905235654708
Master_msaldototal	0.00214818852415739	0.00493753155092909	0.00482363581549593
mpayroll_lag1	0.00208142091980228	0.000385518019832098	0.000401969651291328
ccajas_transacciones	0.00201075950708255	0.00456140446680967	0.00185910963722239
mcaja_ahorro_lag1	0.00200505790219523	0.00861156037970812	0.00658225303989549
ccallcenter_transacciones	0.0019995600506739	0.00280860400120285	0.0012561551602854
ctransferencias_recibidas	0.00199513073021201	0.00351286510287428	0.00507486684755301
mcuenta_debitos_automaticos	0.00189700129688031	0.0036426170236109	0.0031655110039192
ctarjeta_debito	0.00183265090889977	0.00315119365219401	0.00401969651291328
ctarjeta_debito_transacciones	0.00176562885950952	0.00702820915829211	0.00602954476936991
Visa_mconsumosdolares	0.00169537701703061	0.00345309038452216	0.00432117375138177
chomebanking_transacciones_delta1	0.00169417019139399	0.0102606159618421	0.00683348407195257
mrentabilidad_lag1	0.00163767934876709	0.0098413836572414	0.00708471510400965
mcuentas_saldo_lag1	0.00158087911006856	0.00628670469168808	0.00522560546678726
mcomisiones_otras_delta1	0.0015766953192468	0.00683944824514946	0.00417043513214752
Visa_mpagospesos_delta1	0.00154345484877922	0.0060429008829907	0.00497437443473018
Visa_Fvencimiento_lag1	0.00151079183935105	0.00541323141033734	0.0047231434026731
mpasivos_margen_lag1	0.00151025300693085	0.00690231351218901	0.00507486684755301
mactivos_margen_lag1	0.00150905322354631	0.00495128621566093	0.00487388202190735
cliente_antiguedad_lag1	0.00149612072450792	0.00674546125507565	0.00517535926037584
Visa_mconsumospesos_delta1	0.00148942778847047	0.00551516990767621	0.00467289719626168
Visa_mconsumototal	0.00148848810552604	0.00305839539295342	0.0044216661642046
cliente_edad_lag1	0.00147708593873575	0.00627380285328195	0.00507486684755301
mpasivos_margen_delta1	0.00145164435719916	0.0045609625270574	0.00452215857702744
mcuenta_corriente_delta1	0.00144284657376111	0.00518354846666352	0.00401969651291328
ccaja_ahorro	0.00139929836517073	0.00411051420379405	0.00231132549492513
Master_fechaalta_lag1	0.00137619785536041	0.00790673539775295	0.00547683649884434
mcaja_ahorro_dolares_delta1	0.0013596270310031	0.00360637834262239	0.00321575721033062
ccomisiones_mantenimiento_delta1	0.00133908645605734	0.00919444823846545	0.00432117375138177
Master_Fvencimiento_lag1	0.00132728705665897	0.00573389373010682	0.00492412822831876
mcomisiones_delta1	0.00131046766847358	0.00555465705412739	0.00391920410009044
Master_msaldopesos	0.00130053630919717	0.00432713057573506	0.00381871168726761
mtransferencias_recibidas_lag1	0.00129314612743018	0.00381499889971392	0.00371821927444478
mcomisiones_lag1	0.00129157806266978	0.0024197701077882	0.00236157170133655
Visa_cconsumos_lag1	0.00125577691372326	0.00326119915947528	0.00266304893980505
ctarjeta_visa_debitos_automaticos	0.00124546324967755	0.00203161597603191	0.00281378755903929
Visa_mconsumospesos_lag1	0.00122881947873091	0.00438045115595704	0.00351723444879912
ctarjeta_visa	0.00121448165068913	0.000952993277066311	0.000602954476936991
Visa_mpagospesos_lag1	0.00118799104541572	0.0048261400115199	0.00391920410009044
ctransferencias_emitidas	0.0011800188736105	0.00426007843131671	0.0031655110039192
