num_leaves	num_iterations	learning_rate	feature_fraction	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	iter
1539	1500	0.0163083046905181	0.741968572072664	15	0.938786116459702	59			525.421999999999	-0.000725639659958415		0.0659999999988941	infill_ei	0.466000000000349	0.00300596865331123	0.937620518391922	79
1630	1436	0.0307042177071899	0.775468963460752	41	0.938728866822192	56			332.895	-0.000332127560005859		0.0939999999973224	infill_ei	0.468000000000757	0.00298701814794626	0.935923053474688	76
2048	1126	0.0654560081141896	0.474470983662379	8	0.938443682844688	5			130.075999999997	-0.00125061299177401		0.032999999999447	infill_ei	0.364000000001397	0.00124188516869266	0.938218465162869	25
1881	1130	0.0385089926312493	0.487810125513891	11	0.938415104613623	18			219.039000000001	-0.000761709331871643		0.0349999999998545	infill_ei	0.390999999999622	0.00232526612801715	0.938090440279374	38
1689	2289	0.0384522176963422	0.491581370649387	7	0.938360449373615	22			194.988000000001	-0.00141243997194642		0.0299999999988358	infill_ei	0.398000000001048	0.00357109487506625	0.938419174219148	42
1691	1294	0.0145080880032139	0.478938355313397	9	0.938279570535666	28			469.862000000001	-0.000913339929877904		0.0270000000018626	infill_ei	0.403999999998632	0.00159231681299252	0.938938920308917	48
1743	2314	0.0439255287520294	0.482202639493728	18	0.937875340076575	45			208.933000000001	-0.00200691767291428		0.126000000000204	infill_ei	0.454000000001543	0.00135762124366854	0.940405559676775	65
2025	1876	0.0632402748905237	0.48661578311354	11	0.937435349109684	26			145.894999999997	-0.00225567586220288		0.0290000000022701	infill_ei	0.404999999998836	0.00148396372584111	0.940654873182702	46
1583	1291	0.0106808922031294	0.807272142210733	28	0.937367144576954	53			735.543000000002	-0.00129983516000271		0.0819999999985157	infill_ei	0.461000000002969	0.00226245471690988	0.939150734038529	73
2043	1375	0.0691797541995352	0.616867188504585	6	0.937090741234276	2			140.058000000001	-0.000215055243602252		0.0169999999998254	infill_ei	0.370999999999185	0.000405983067398441	0.93346213465985	22
719	1404	0.0405883094635607	0.532037627563037	34	0.937069403880468	52			178.233	-0.0021245358401678		0.0469999999986612	infill_ei	0.474000000001979	0.00231210050600773	0.940289459491133	72
1804	1943	0.0656668002391659	0.525414217347886	7	0.936913875563861	37			131.262000000002	-0.0026105594567735		0.0339999999996508	infill_ei	0.42699999999968	0.00186324933065631	0.940979861762917	57
1901	1289	0.0682396347623581	0.666821653935839	74	0.936822753360027	13			138.371999999999	-0.000217608849834332		0.022000000000844	infill_ei	0.377000000000407	0.00248595435494445	0.93602254908922	33
1657	2782	0.0106078042772372	0.486864586495668	2	0.936403897785585	49			711.773000000001	-0.000673405356442331		0.058999999997468	infill_ei	0.462000000003172	0.0025774896200747	0.937633083233004	69
1327	1330	0.0110514590153479	0.636011038315073	2	0.936075685680749	54			543.436999999998	-0.00176850224378592		0.0740000000005239	infill_ei	0.459999999999127	0.00267735751993426	0.939636050486835	74
1787	1400	0.0450258949675977	0.698916057044877	4	0.935961213586346	60			174.916000000001	-0.00118759029083366		0.0730000000003201	infill_ei	0.469999999997526	0.00345749603629684	0.938383975640768	80
1817	2000	0.0309526555844642	0.495732591837179	1	0.9358488396882	27			251.793000000002	-0.00119566764479433		0.0289999999986321	infill_ei	0.408000000003085	0.00146489398566313	0.939417197068036	47
2026	1244	0.0829748571896293	0.447186531666624	11	0.935774569302694	11			108.554	-0.000990451329534137		0.0200000000004366	infill_ei	0.372999999999593	0.00126426689713006	0.939227813907652	31
1988	1024	0.017389242848083	0.469499922491199	3	0.935721966791921	30			373.589	-0.00278476559819667		0.0249999999978172	infill_ei	0.42699999999968	0.000817416655526969	0.941228379429726	50
1307	1127	0.0140351983232505	0.499065164878857	3	0.935681702283651	57			381.597999999998	-0.000804591673672258		0.110999999997148	infill_ei	0.466000000000349	0.0034959266628056	0.937327576502465	77
2043	1293	0.0811028376191829	0.645531745121242	37	0.935565005344055	50			136.808000000001	-0.000671408548374561		0.131000000001222	infill_ei	0.457999999998719	0.00266238501472046	0.937541384000393	70
1699	2476	0.0713560447907971	0.520325049753985	4	0.935314311430362	46			108.745999999999	-0.000390317141172547		0.0859999999993306	infill_ei	0.455999999998312	0.00202794435108447	0.937394345384423	66
1629	1296	0.0502052212554571	0.48890319394259	4	0.935223070251473	29			147.341	-0.00146750725248655		0.032999999999447	infill_ei	0.415000000000873	0.00158910965276962	0.939721559588349	49
2042	1283	0.0368076153462928	0.479095188382945	1	0.935162035683473	51			217.399999999998	-0.00171381403838896		0.0490000000027067	infill_ei	0.54399999999805	0.000945271225892015	0.940143958972613	71
2044	409	0.0669667223106046	0.480744625975726	5	0.935036206493398	21			118.243999999999	-0.000612469728273356		0.0279999999984284	infill_ei	0.400000000001455	0.00152097364754693	0.938455027155123	41
2048	1280	0.0455606310529885	0.452478933279438	3	0.934954833508537	36			173.413	-0.00238036476773875		0.044000000001688	infill_ei	0.435999999997875	0.00190271021468048	0.940716041289166	56
1579	2236	0.0730885404752352	0.490972241537352	5	0.934683841215345	39			100.473999999998	-0.000826003651628016		0.114999999997963	infill_ei	0.431000000000495	0.00212993159850782	0.938395821573072	59
1980	2242	0.0863056533067781	0.660802342489823	49	0.934495470278293	15			132.081000000002	-0.000505099278264807		0.047999999998865	infill_ei	0.38300000000163	0.00237775982152814	0.937364633263316	35
2046	1108	0.0683804461446417	0.519748332817857	3	0.934431966154406	10			118.567999999999	-0.000243480231021083		0.0390000000006694	infill_ei	0.379000000000815	0.00038449382817449	0.938599126784226	30
