num_iterations	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	iter
2994	0.00509374990362352	0.341548817336311	922	4	0.9474885320047	17			8020.82	-0.00124980670244821		0.0400000000008731	infill_ei	0.389999999999418	0.000499595618430195	0.946721474731157	37
3000	0.00507851046496736	0.304201021914996	1295	12	0.946802853952095	18			12260.33	-0.000241350426469638		0.0299999999988358	infill_ei	0.520000000004075	0.000630473012622437	0.947467919347901	38
2037	0.0145682994946495	0.396290770804443	1052	4	0.945873885007981	26			6235.16	-5.24427974348533e-05		0.0499999999992724	infill_ei	0.720000000001164	0.000977133648476198	0.946294937592792	46
2998	0.0284546299273846	0.385571845092715	627	7	0.945472670434695	12			2310.35	-0.000296407135087846		0.00999999999839929	infill_ei	0.5	0.000765321747310658	0.94526582290715	32
2770	0.0145027039142379	0.345470046232268	759	1	0.945283815794739	10			4481.22	-0.000760978484993622		0.00999999999839929	infill_ei	0.389999999999418	0.00146751604083205	0.945218954882179	30
2983	0.00764348567902062	0.4278643667313	361	1	0.944896124516103	8			3608.06	-0.000618125616682544		0.0300000000006548	infill_ei	0.340000000000146	0.00241316417225619	0.943792671364885	28
2028	0.027674091885702	0.346034603030809	554	6	0.944584608176436	6			2141.33	-0.0010337444846901		0.0299999999988358	infill_ei	0.3700000000008	0.00151880822495261	0.943863157846882	26
3000	0.0256257879839968	0.250869170421543	2036	7	0.944536128709067	11			4900.9	-0.00046238482226752		0.0200000000004366	infill_ei	0.43999999999869	0.00188655348140384	0.944607681946749	31
2573	0.0291926352520342	0.352311190284094	1428	1	0.944474894660284	13			3050.32	-0.000174526709808709		0.0299999999988358	infill_ei	0.360000000000582	0.000956482795054042	0.944945490963926	33
2199	0.00961863028681759	0.453847884436769	329	3	0.94404263996765	9			2438.44	-0.000509985502188679		0.0100000000020373	infill_ei	0.469999999997526	0.0013953257176894	0.944800154371719	29
1736	0.00630893322610351	0.677741394125943	917	5	0.943871851903161	19			5447.19	-1.23159051552743e-05		0.0799999999999983	infill_ei	0.490000000000009	0.00201931908388784	0.943205118177125	39
