Feature	Gain	Cover	Frequency
ctrx_quarter	0.134299126339388	0.0131017587174584	0.015019047754643
mingresos_rank	0.0280563205736919	0.00506318514169349	0.00460532604915195
mpasivos_margen	0.0270484766122954	0.0100621863826974	0.0170417911601333
cliente_edad	0.0237281513640255	0.0199985313637363	0.0420016718904769
mcaja_ahorro	0.0216374686581898	0.007081780059505	0.0138383513776825
numero_de_cliente	0.0211672177666853	0.015766321064467	0.0407396183126923
mcuentas_saldo	0.0205611439073105	0.0104622566839937	0.0187213088746469
mrentabilidad_annual	0.0202280576696894	0.017141382356186	0.0314216764058016
cpayroll_trx_rank	0.017168477115013	0.00781251451449251	0.00106883022582725
mpayroll_rank	0.0159091998307872	0.00776438613514231	0.00114256018907413
cliente_antiguedad	0.015896911328485	0.0132998879331275	0.0301250460176667
mcuenta_corriente	0.0157232436915689	0.019485500991304	0.0277600938862098
Visa_Fvencimiento	0.0156022070544538	0.00877558018750689	0.0250178477359308
Master_fechaalta	0.0151038612561745	0.0103973807885191	0.0211121936138665
mprestamos_personales	0.0148685959111136	0.0137168028734682	0.00339615465190305
Visa_fechaalta	0.0145017625306672	0.00829861270605967	0.0200942116385544
diff_comisiones_consumo_rank	0.0141408634748807	0.00416348685308103	0.00443498440992639
mactivos_margen	0.0130299908325117	0.0144499307318926	0.0190869077958504
Master_mfinanciacion_limite	0.0126475577683865	0.00895291594941176	0.0207104924347973
Visa_mfinanciacion_limite	0.012038424130125	0.00641672424476023	0.0201730264268528
Master_Fvencimiento_rank	0.0118909328773274	0.00916518856388771	0.0170733170754527
mtarjetas_consumo_rank	0.0109118782036678	0.00397592390807238	0.00303564055575104
mrentabilidad	0.0107125845003422	0.00955314532095687	0.0191469087314582
chomebanking_transacciones	0.0104235300087282	0.00646700473704089	0.0142827650871844
mcomisiones	0.00964629503012549	0.004080227953146	0.0141703904535461
Visa_mpagominimo	0.00940250732174953	0.00439167847750431	0.00704756752139186
cdescubierto_preacordado	0.00712710522697098	0.0115915568776825	0.00289682483184484
mcaja_ahorro_dolares	0.00675354433844644	0.00586534635364995	0.0100654111894626
cproductos	0.00672674567311614	0.0110453452325182	0.0122106988786944
cprestamos_personales	0.00661098641983875	0.00846401400164461	0.00241783431199266
Visa_msaldopesos	0.00640832627658958	0.00282380705103871	0.00448329024791573
Visa_msaldototal	0.00578888758226643	0.00282370294605469	0.00505024824115902
mcomisiones_otras	0.00563036730263353	0.00342416970778075	0.00861572756727732
Master_mlimitecompra	0.00562992507372871	0.0044447894022852	0.009234550776046
Visa_mpagospesos	0.00546742586272239	0.00527701764560387	0.00802334544877649
ccomisiones_otras	0.00538346062603267	0.00447468645649959	0.0095920139771671
mrentabilidad_annual_delta_pct1	0.00533483065849963	0.0065571825254789	0.00778740956638646
mactivos_margen_delta_pct1	0.00527626293472703	0.0088092231432114	0.00821961969576475
Visa_mconsumospesos	0.00522709017289858	0.00343189317083413	0.00757791477426428
ctarjeta_visa_transacciones	0.00500654741293543	0.00231690004516623	0.00378056742579715
Visa_status	0.00497311402617673	0.015913158158989	0.00128849466805245
mrentabilidad_annual_lag1	0.0048430495387715	0.00637586804635879	0.00585059970426658
mtarjeta_visa_consumo	0.00482886586624819	0.00275224262702567	0.00258410809117702
Visa_cconsumos	0.00465374267747002	0.00270802001435845	0.00568127503005132
mttarjeta_visa_debitos_automaticos	0.00461547797516162	0.00270295599546199	0.00483058379893381
diff_visa_compra_rank	0.00460890859983092	0.00212380460883305	0.00544076280511493
mtransferencias_recibidas	0.00457477989741561	0.00366924954895908	0.00592382118500831
mpasivos_margen_delta_pct1	0.00452193661049119	0.00471269568169823	0.00743960753286322
cliente_edad_lag1	0.00421844430677256	0.00967003894257593	0.00751079508358435
mcuenta_debitos_automaticos	0.00420674253987999	0.00401534560528101	0.00395701085508452
Visa_mlimitecompra	0.00415642531038788	0.00315562016357518	0.00832843495186705
ctarjeta_debito	0.00388023099342835	0.00903062767161146	0.00760435586453213
mcaja_ahorro_delta_pct1	0.00377725433673601	0.00327679985768839	0.00471871764780061
diff_comisiones_beneficios_rank	0.0037381929793368	0.00557596213742564	0.00503499376600449
mprestamos_personales_delta_pct1	0.00371849944743801	0.00646160639765228	0.00106527084829119
Master_status	0.00370258804995617	0.00178477464218716	0.000799842980602409
mcuentas_saldo_delta_pct1	0.00366335550332378	0.00355937482789287	0.00577585277600939
mrentabilidad_annual_delta1	0.0035717346192205	0.00809412904158357	0.00678722447875459
ctrx_quarter_delta_pct1	0.00355434758462334	0.00313030709930921	0.00640281170486048
mcuenta_corriente_delta_pct1	0.00348306080004987	0.00442067840870425	0.00563398615707228
mcomisiones_mantenimiento_rank	0.00345235841786991	0.00497109123409313	0.00520177602769399
chomebanking_transacciones_delta_pct1	0.00335957964140608	0.00357504797287795	0.00358276773129344
mactivos_margen_lag1	0.00318974037468837	0.00417673187691714	0.00318869378980147
ccomisiones_mantenimiento	0.00313008454087331	0.00785765538897527	0.00214579617173692
mrentabilidad_delta_pct1	0.00304514027927719	0.00469677662359873	0.0045188840232763
mautoservicio	0.00302434516418719	0.00202068048444784	0.00317140538462634
ctransferencias_recibidas	0.00295165681778508	0.00149031653587226	0.00349734267042808
mcaja_ahorro_dolares_delta_pct1	0.00290819029084025	0.00702004450387429	0.00322072818762598
mtransferencias_emitidas	0.00287728253859033	0.00197084833698966	0.00304682717086436
ctarjeta_debito_transacciones	0.00286768054510872	0.00266688015154404	0.00299496195533897
ccallcenter_transacciones	0.0028094259700691	0.00449310803084532	0.00234257890123032
