min_sum_hessian_in_leaf	lambda_l1	lambda_l2	num_leaves	max_depth	num_iterations	learning_rate	feature_fraction	bagging_fraction	bagging_freq	min_data_in_leaf	min_gain_to_split	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	iter
0.0856790072822944	0.646175694487858	42.3041739830523	656	6	1718	0.0242819210387882	0.732155483013966	0.721961678853375	5	80	0.581387213458669	0.935486466619592	75			118.393	-0.00818389600629755		1.06900000000132	infill_ei	0.993999999998778	0.0179343546838789	0.936567619466521	123
0.0527930367569468	0.345619880045782	78.1690118998911	1743	7	908	0.0573661897808877	0.365254403680748	0.852815170310232	3	443	0.0315171042179412	0.935062502660706	97			125.465	-0.00806472891530649		1.23599999999897	infill_ei	1.06000000000131	0.0237124413800397	0.932551382827721	145
0.0347888222139902	1.49962181513945	82.7883821116558	1408	10	2550	0.0984099438702868	0.814376017040413	0.871993592154869	1	643	0.0178522391409888	0.934642411374071	89			263.135	-0.00693782806621045		1.30599999999868	infill_ei	1.02500000000146	0.0232872399297319	0.930327498703809	137
0.080766893103993	2.97320477790001	56.417578933018	938	10	835	0.108380017142109	0.393806284637136	0.602171606828169	0	263	0.594468790881218	0.934595775811535	63			103.109999999999	-0.00873007450576706		0.911999999998443	infill_ei	0.972000000001572	0.0343112272263393	0.922286864633393	111
0.0872970152804742	0.834250784085042	96.7491509026205	783	4	2605	0.0891624194362999	0.733493042938678	0.773451203656165	2	437	0.195699381863058	0.933750301146547	74			142.185	-0.00834783925071763		0.756000000001222	infill_ei	0.97899999999936	0.0261796053730358	0.930095254813939	122
0.0387676533623278	5.87398082103897	73.3285825993868	941	5	1081	0.0365757235454909	0.777585511246025	0.750938649566133	9	166	0.611282063756578	0.93370521077257	51			62.2759999999999	-0.0100933937059989		0.704999999999927	infill_ei	0.918999999999869	0.0290721832042736	0.92914422563642	99
0.0886675414212242	6.5094333358956	15.7673568641375	325	6	1367	0.0506641719853387	0.928565720708922	0.584690321687484	1	1329	0.140286358092334	0.933257310029302	66			82.2209999999996	-0.00849280934481742		0.903000000000247	infill_ei	0.981999999999971	0.0262113664789418	0.930400430772433	114
0.0534320277572487	0.361172131871532	27.7053571606031	1436	7	1359	0.0567988455514742	0.612765484948764	0.719611791038783	0	724	1.43337373266059	0.933082145431677	65			72.9549999999999	-0.0102818017765406		0.671000000000277	infill_ei	0.96900000000096	0.0292781001846809	0.931683352178563	113
0.059996113474258	7.74557591244307	89.0630103721384	334	6	2029	0.0369616649429978	0.803256050420082	0.92000080338	6	278	1.02897956698586	0.932289286737953	48			85.4270000000015	-0.0104295729592991		0.634000000000015	infill_ei	0.915999999999258	0.0317889498456268	0.926457426570662	96
0.0199045279929577	0.958948743198817	30.3203882834235	1090	4	1567	0.127027935946772	0.820793020517847	0.594903771141657	10	177	0.980534143158388	0.931989568611014	88			67.2549999999992	-0.00667669308351658		1.24099999999999	infill_ei	1.03499999999985	0.0248639770123879	0.928142028706817	136
0.0437372529867701	1.72012950187109	33.222333029562	1041	6	1617	0.0738604560251461	0.881106754965796	0.980623723390936	10	5845	0.0672512649741692	0.931286092353916	83			111.132000000001	-0.00682502624366991		1.04600000000028	infill_ei	1.02899999999863	0.0309444770118733	0.922207287631591	131
0.0655145698022537	4.93527362547365	10.2231481957215	1342	2	2076	0.147192484641237	0.982351700630365	0.802937775663663	7	503	0.707465932236555	0.931249885936418	44			72.9889999999996	-0.0143752963766349		0.548000000000684	infill_ei	0.885000000000218	0.0358321855755007	0.931321545842018	92
0.0701685210281184	0.046048438757958	58.6440867997768	69	7	1210	0.252039543845915	0.659550390688064	0.731205781623645	1	560	0.666375991070362	0.931227677490231	78			71.5	-0.00721175712137852		0.568000000001121	infill_ei	1.00199999999859	0.0237011640520221	0.930598439290399	126
0.073235757302839	16.0005913144054	1.64693146594648	635	4	2225	0.070216840877799	0.323859854431659	0.701554680779998	3	403	0.720491604897487	0.931161187039463	32			249.59	-0.0132612201993614		0.489999999999782	infill_ei	0.852999999999156	0.038953826986282	0.925247389304672	80
0.0205613118990004	0.659165975462758	67.4732307227448	465	6	1475	0.0821062873069043	0.90401945321129	0.99992003353988	2	3560	0.467223248695866	0.93114471401548	80			72.2790000000005	-0.00654277639628367		1.19800000000032	infill_ei	1.00699999999961	0.0315041210613761	0.920725697288478	128
