min_sum_hessian_in_leaf	learning_rate	feature_fraction	bagging_fraction	lambda_l1	lambda_l2	min_gain_to_split	drop_rate	skip_drop	bagging_freq	num_iterations	max_depth	num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	iter
0.0352379458467648	0.0700093026150364	0.669065279180673	0.949082099285621	1.80094342377781	2.36496166820127	0.116574641117095	0.221010370834012	0.762151885033963	9	2191	12	1020	15	0.942961212796602	92			1126.8	-0.00798343938865047		2.40999999999622	infill_ei	2.05000000000291	0.0282925707964784	0.935013891202759	148
0.0213446058974987	0.0182100573046792	0.928335611237883	0.746333340031567	1.88319047735522	1.0336961797928	0.156722751766491	0.192472256311105	0.792221873005907	7	2459	12	861	657	0.942382539303456	68			702.969999999994	-0.0105556363113219		1.27000000000407	infill_ei	1.72999999999593	0.033441359272947	0.934855306304297	124
0.0388678867705045	0.0248797149648832	0.783913473887252	0.650303905511539	1.26773359004301	0.380521198949252	0.0520477127645975	0.187147256234439	0.686154289722091	3	2899	15	1451	1175	0.942081450992558	88			956.110000000001	-0.00892219188920967		1.36000000000058	infill_ei	1.86000000000058	0.024142320471129	0.940929247967518	144
0.0314089562518944	0.0779736812229674	0.709614762595689	0.882155456353562	1.13932818335166	3.3961950441026	0.636707780994456	0.233712648653193	0.389986652283856	8	2866	12	1072	186	0.940856526406177	91			1764.11	-0.00781466707106946		1.7699999999968	infill_ei	1.91999999999825	0.0318337703489707	0.931007770137301	147
0.00593801183514541	0.0341085433604141	0.760284112399507	0.677651744931922	3.10117531171443	4.76097791778231	0.0214176895657698	0.0495956049283567	0.664490120742165	3	2299	14	1724	679	0.94085459399638	29			927.560000000001	-0.0143970876803867		1.03000000000247	infill_ei	1.2599999999984	0.0384715507743795	0.935896595158243	85
0.0185000356844425	0.0228594685693357	0.955786694970699	0.647787143492033	1.6322807077327	8.2348519681623	0.0460787624467233	0.152276653077251	0.799347850912053	5	2307	14	1423	586	0.940487031818347	69			712.699999999997	-0.00943482755884108		1.81000000000495	infill_ei	1.65999999999622	0.0242376590275505	0.941909659998022	125
0.00981893978813501	0.0750237644380633	0.779097162985063	0.579308783210812	2.69129756081263	6.63612531476692	0.0859520756668135	0.143497009814153	0.781529401246631	2	2437	10	1018	885	0.939676603907786	46			536.800000000003	-0.0119469851248077		1.09000000000015	infill_ei	1.4900000000016	0.0319452640561774	0.939226850021252	102
0.0450186216763238	0.0551662707543735	0.854252996792874	0.919498635178829	1.3576014933675	0.422378110961643	0.441836305489581	0.179961847009504	0.688565575981396	8	2417	11	89	1534	0.939504812161657	93			709.739999999998	-0.00807895904053101		1.90999999999622	infill_ei	1.93000000000029	0.0241543466975865	0.939667891527318	149
0.00572105957794424	0.0645503731366091	0.87952888496461	0.957459798584923	6.10719359862324	1.46714227238181	0.256117193841238	0.12682797355263	0.763913987738049	6	1973	11	506	299	0.939439409993551	89			530.480000000003	-0.00745637834285872		1.52000000000407	infill_ei	1.96999999999389	0.0305166544107128	0.931381246731914	145
0.0567495950926794	0.0930035954218705	0.821645519757141	0.705194417975046	1.59255948552472	7.5357949409613	0.412514956325769	0.241762591694381	0.235744724535826	6	2805	11	1224	443	0.939403639458995	65			1666.33	-0.00941003011224009		1.47000000000116	infill_ei	1.62000000000262	0.032102709547229	0.933366788861575	121
