num_leaves	num_iterations	learning_rate	feature_fraction	min_data_in_leaf	lambda_l1	lambda_l2	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	iter
381	988	0.0197838768083574	0.75910276629086	57	1.85364916585174	22.5693090898196	0.936286539691077	100			276.735000000001	-0.000301109899066957		0.734000000000378	infill_ei	0.690999999998894	0.000700827287062435	0.936157364902888	128
2048	1861	0.0115243912908131	0.805364343541547	144	4.72834325015273	52.8776726361	0.93611532989779	96			387.739	-0.000716440090890509		0.299999999999272	infill_ei	0.676000000001295	0.000982631254307177	0.936475882205797	124
248	1170	0.0579729407274978	0.76169137979486	24	2.55063729524715	83.7906320644444	0.935940573870828	16			132.875	-0.000229060486563953		0.108000000000175	infill_ei	0.479000000000269	0.000572501112745599	0.935287233307909	44
1326	1047	0.0115878496407369	0.9988712948859	35	3.50345690726926	6.64465772246784	0.935850858269891	93			310.870000000001	-0.000227947821353354		0.278000000000247	infill_ei	0.668999999999869	0.00116821235539299	0.935346303269151	121
250	1169	0.0159587783618514	0.747502132539447	12	1.9715224187334	50.2313082000402	0.935833474056951	54			276.799	-0.000293465072872725		0.160000000000764	infill_ei	0.574000000000524	0.000695063164896243	0.935972344600491	82
1965	1895	0.0377606735140582	0.781595295796127	27	3.92917089697737	17.9237455887014	0.935689711647814	99			134.541000000001	-0.00022852318662271		0.522999999999229	infill_ei	0.682000000000699	0.000677360776435707	0.93602737018222	127
488	1351	0.0550939445269063	0.947796533668573	60	2.25833510780709	41.1640597229909	0.935636369438121	69			118.974	-0.000354928201595484		0.0929999999998472	infill_ei	0.608000000000175	0.000641047692441919	0.936119215487932	97
1846	1425	0.0165602259498625	0.999780688974438	231	5.09943921290265	24.3459368380759	0.935577710010632	82			204.875	-0.000204848833453155		0.278000000000247	infill_ei	0.644000000000233	0.00095134466332104	0.935517289771214	110
329	1159	0.055891733163011	0.735356484005176	120	0.201204880191473	88.0453085371601	0.935547632853777	42			131.086	-0.000272393264044801		0.198999999999614	infill_ei	0.550000000000182	0.000334542611444487	0.93616200721614	70
149	2300	0.0485930664170903	0.914039063925086	18	7.62404722763586	7.23886480177466	0.935315472364916	65			71.0390000000007	-3.19812039452407e-05		0.159999999999854	infill_ei	0.595000000000255	0.00203219825131106	0.93236181644061	93
626	1096	0.0590672363830341	0.740389609417906	199	2.48841222534058	71.6524873316172	0.935285903366217	15			103.776	-0.000275357057879382		0.117000000000189	infill_ei	0.485000000000127	0.00083128621172444	0.934928092635597	43
78	1016	0.0385331544011193	0.558599010828513	23	13.0347403504969	71.8489711276129	0.935262188130821	92			157.329	-0.000122888923028949		0.286000000000058	infill_ei	0.661000000000058	0.000998436247670461	0.935155246464502	120
2044	1139	0.0707226132260298	0.30471798495226	527	6.68878591369675	62.4407156052905	0.935214087749997	29			92.0359999999991	-7.17983420025952e-05		0.168999999999869	infill_ei	0.514000000000124	0.00141182745117538	0.934179363493157	57
199	1225	0.058544475435841	0.805000713593322	3	1.52934343919015	61.4935815223563	0.935147217507101	88			108.502	-0.000523033598751786		0.680000000000291	infill_ei	0.662000000000262	0.00032414483536793	0.936455890128761	116
514	1791	0.0500019233898909	0.80631159152122	38	6.62887115914142	85.3605772952105	0.93508223311177	25			152.981	-0.000118323870771259		0.202000000000226	infill_ei	0.503999999999905	0.000836489946906211	0.935350080331494	53
1967	1780	0.0565253627322201	0.10988175044008	142	9.75570605497816	85.5095155399548	0.935070599569936	37			113.151	-9.41957337746028e-05		0.282999999999447	infill_ei	0.539999999999964	0.000907642194922134	0.93514000045627	65
939	1349	0.0654630170233065	0.913251408474186	736	5.15802147269711	97.2758689443654	0.935047477219979	13			97.8090000000002	-0.000591599359749914		0.0579999999999927	infill_ei	0.475000000000364	0.0006798068566966	0.935022503225947	41
2023	1859	0.040900329997048	0.427559086316935	258	6.45586375878501	59.4357261094751	0.935008840350734	98			163.918	-6.46055305138903e-05		0.281000000000859	infill_ei	0.685999999999694	0.000644137795198929	0.935535138612052	126
1904	1092	0.0614446969178173	0.117259722000769	127	3.39171061755182	93.851605872764	0.934941406087512	45			85.2690000000002	-7.97629762576925e-05		0.32799999999952	infill_ei	0.54700000000048	0.000965158783955951	0.934971306841694	73
973	1488	0.0133314936913981	0.978544370764049	5	2.95848556322317	0.686070903197647	0.934933161801674	91			368.106000000002	-0.000475411509433489		0.549000000000888	infill_ei	0.666999999999462	0.000827793167989402	0.936198989412537	119
