min_sum_hessian_in_leaf	learning_rate	feature_fraction	bagging_fraction	lambda_l1	lambda_l2	min_gain_to_split	bagging_freq	num_iterations	max_depth	num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	iter
0.0945698224853425	0.0505826454144719	0.998357089257255	0.748618283170503	3.89682298062123	2.38901746980235	0.0325713219948005	2	1609	2	502	260	0.924907413972722	96			31.9299999999998	-0.0114579266781889		0.830000000000382	infill_ei	1.15999999999985	0.0312583067081503	0.92275552444929	144
0.0263253969047405	0.0309666374811017	0.845016939679524	0.710363173948172	1.43167190060787	2.93054392716144	0.0782443370964973	5	2166	9	1870	4	0.924835380200862	94			129.53	-0.0128324539209932		0.619999999999891	infill_ei	1.17999999999984	0.0347399378028387	0.922346286174252	142
0.00683367214553002	0.0168454451832932	0.842161573584888	0.759842808394749	5.41076734871831	0.566302499359209	0.190967643138492	2	2793	5	1044	135	0.924450677865222	93			77.7800000000002	-0.0115411302419653		0.75	infill_ei	1.2199999999998	0.0408882049695906	0.913742693302171	141
0.082830421030452	0.0265272202860397	0.976204553026367	0.860511266495096	7.89072035506144	5.00870195794851	0.0406475024929904	1	660	6	993	90	0.924382933705399	83			22.0499999999997	-0.0122143575510412		0.710000000000036	infill_ei	1.20000000000027	0.0384097273363692	0.916850207976025	131
0.0393187368249869	0.0639061086046586	0.962512094599718	0.829441904359347	5.01285495423487	0.864721182652425	0.00585870703046766	9	919	9	796	857	0.924170271267473	89			27.0700000000002	-0.0127935470309597		0.950000000000273	infill_ei	1.10999999999967	0.0283662947204183	0.927223605969696	137
0.099897897466704	0.011797856773298	0.803205011138089	0.809192654172788	8.5892229664978	2.33268384153738	0.0921358369916787	3	2223	7	1847	107	0.923721685184361	98			68.6100000000001	-0.011065516814973		0.599999999999909	infill_ei	1.20000000000027	0.0329445008034921	0.920519755983659	146
0.0659652769334675	0.0603984273018754	0.868951060844533	0.704789290979035	6.80291407539185	0.129398406899016	0.148305418160864	7	2313	6	345	1091	0.923671281403698	99			42.4499999999998	-0.0117562759867138		0.559999999999945	infill_ei	1.17999999999984	0.0253846961007626	0.928014388235495	147
0.084773240708627	0.0511669244317979	0.770925399166022	0.79757763360951	5.34043688925003	5.46066046617989	0.0810947345633115	4	1200	5	1514	375	0.923589801657471	100			32.8699999999999	-0.0110678005937948		0.820000000000164	infill_ei	1.2199999999998	0.0200701141236459	0.930427482250247	148
0.0775375413534337	0.0724351867383781	0.772961952666219	0.549686720872551	3.30970049020805	4.68332555966712	0.0398510008436524	9	2233	6	1699	392	0.923530345820781	70			64.6299999999997	-0.0141254946645496		0.630000000000109	infill_ei	1.01000000000022	0.0324776954095889	0.924886120741475	118
0.0675993818034177	0.0643113945586463	0.950890016938421	0.649415459207065	0.462798857449899	3.79773055617214	0.0733267429235051	8	1044	10	564	189	0.923320925039368	91			53.1100000000001	-0.0117101499122969		0.940000000000055	infill_ei	1.11999999999989	0.0314412292212909	0.92267997355271	139
0.0926949576701782	0.05519005566804	0.787649796426681	0.888472986520593	1.0859251170607	2.75936575015547	0.271199882623285	6	1041	8	1430	1405	0.92330474791379	78			31.5299999999997	-0.0154019262220218		0.559999999999945	infill_ei	1.11000000000013	0.0350010848802893	0.926318795305871	126
0.0432709377832758	0.0779497672367685	0.444178812359487	0.502848173335773	4.17576098983827	2.26350242202527	0.879497786949328	6	2260	-1	958	915	0.922612078862226	41			40.1600000000001	-0.0163920625444503		0.470000000000027	infill_ei	0.829999999999927	0.0466194555285227	0.917654278746004	89
0.0633338122261513	0.0712035786677955	0.917778985483752	0.817438817415168	9.84587717045909	0.945921812117764	0.0733850947935711	9	2485	12	259	123	0.922493974936001	85			43.7400000000002	-0.0127571337053766		0.75	infill_ei	1.08999999999969	0.0452738591851495	0.912546291414055	133
