learning_rate	feature_fraction	num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	num_iterations	iter
0.0100698921822646	0.429321901055693	205	2820	0.911010849063163	28			126.71	-0.000805381053385601		0.0299999999997453	infill_ei	0.359999999999673	0.00440875203020614	0.908455537147843	631	44
0.0208516904716467	0.757005689411331	614	1195	0.910882293125623	20			97.5	-0.00134635225745214		0.069999999999709	infill_ei	0.369999999999891	0.0014452730781539	0.910583572412036	182	36
0.0200521384751198	0.773056094147504	2027	1351	0.909406598232033	16			131.450000000001	-0.00308305848278892		0.0299999999997453	infill_ei	0.329999999999927	0.00259700375654986	0.91204496353814	280	32
0.015843131368979	0.971830506590078	948	1100	0.909132701279582	0			120.17				initdesign				232	15
0.0110340093249478	0.34946322720111	2047	1553	0.909048095500608	13			147.36	-0.00163433423178767		0.0299999999997453	infill_ei	0.360000000000582	0.00271094555511902	0.910101640385775	374	29
0.0100077637366156	0.695099343862984	1899	1290	0.9086585735665	3			194.97	-0.00112670517800541		0.0300000000002001	infill_ei	0.329999999999927	0.00274734222710831	0.909193512719193	450	19
0.0177944110342838	0.142548903149727	1833	3072	0.908523041072538	25			108.88	-0.000950998353863964		0.0600000000004002	infill_ei	0.359999999999673	0.00383550121054167	0.909537915801607	572	41
0.0100340547915155	0.511371544192555	2047	2681	0.908495640546499	10			153.469999999999	-0.000746577262089633		0.0299999999997453	infill_ei	0.350000000000364	0.00341078657043005	0.90765192767089	653	26
0.0134075364928783	0.617478565670494	326	3011	0.908445396085622	29			90.0299999999998	-0.000908022498729082		0.0599999999994907	infill_ei	0.360000000000582	0.00362254688256272	0.909768079089752	481	45
0.0196963329519243	0.331690198052253	535	1077	0.90836757077621	22			147.46	-0.000731013754785312		0.0500000000001819	infill_ei	0.380000000000109	0.00160491184066501	0.911056269755165	284	38
0.0162574982703594	0.27267698531335	1614	1042	0.907833599275723	11			182.09	-0.000941279001865231		0.0600000000004002	infill_ei	0.409999999999855	0.00289290247856159	0.908678689617836	318	27
0.0100355731449868	0.57095155533925	714	3607	0.907713460084859	14			98.9899999999998	-0.000865283803094031		0.0199999999995271	infill_ei	0.3700000000008	0.00371804374876569	0.90767007082403	581	30
0.034548288480841	0.625281808795155	766	1006	0.907427667341983	15			104.66	-0.000909733214257391		0.0499999999992724	infill_ei	0.3100000000004	0.00222553240953214	0.90917611196211	138	31
