num_leaves	num_iterations	learning_rate	feature_fraction	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	iter
278	2450	0.0105474569893723	0.419680996694204	1	0.941297598364155	71			355.862000000008	-0.000298646887204564		0.069999999992433	infill_ei	0.506999999997788	0.00252059865763631	0.938253013664714	91
800	2795	0.0111720590308323	0.696663565512965	7	0.940290127993147	44			477.652000000002	-0.000975388372451169		0.092000000004191	infill_ei	0.467000000004191	0.000889661436740203	0.940342347496801	64
982	2702	0.0221068977176145	0.704004705038192	34	0.939877580127688	46			391.14899999999	-0.000488386159863783		0.129000000000815	infill_ei	0.461999999999534	0.00255398009052939	0.938958069878427	66
1068	2409	0.012361233286484	0.385440787544178	2	0.9396251785796	67			435.57699999999	-0.000662087816371926		0.118000000002212	infill_ei	0.495999999999185	0.0027797749460677	0.939239935936283	87
632	2470	0.0102922075167422	0.606584932790934	2	0.939438923864478	35			498.108000000008	-0.000218398740472486		0.136999999987893	infill_ei	0.44100000000617	0.000842342750584763	0.938743152163826	55
505	2396	0.0106250264565561	0.421328423392194	5	0.939383483927119	74			332.160000000004	-0.000598946745878209		0.0890000000072178	infill_ei	0.512000000002445	0.000891893260027674	0.941709348550129	94
1059	2592	0.0142159234881353	0.442171198510362	10	0.939298522273853	42			397.322	-0.000452694689245491		0.0509999999922002	infill_ei	0.448000000003958	0.00111491901579775	0.939454648103154	62
283	2423	0.0108244168704902	0.821846850812491	14	0.939096289658737	77			287.095000000001	-0.000193653059897789		0.129000000000815	infill_ei	0.512999999991735	0.00108863797232492	0.94068026404426	97
555	2382	0.0272834764946047	0.662753026652238	1	0.939012522385806	33			195.813999999999	-0.00032551238927483		0.0420000000012806	infill_ei	0.434999999997672	0.00152451804078581	0.938232066495652	53
656	880	0.0348566149686462	0.69392855888968	7	0.938918795288319	20			157.823000000004	-0.000445167069626203		0.0380000000004657	infill_ei	0.411999999996624	0.00109893082267931	0.938155469268004	40
813	1697	0.0260594717664601	0.26417937387594	2	0.938774191555128	43			170.930999999997	-0.000505475536675351		0.0540000000037253	infill_ei	0.452000000004773	0.00345896601657817	0.937063787793627	63
1155	2068	0.0101612756921866	0.969801771004329	29	0.938692969844406	73			838.034	-7.27575611098723e-05		0.286999999996624	infill_ei	0.510999999998603	0.00269683112980298	0.937155038190783	93
538	2590	0.0111112296949924	0.686460032975455	64	0.938649146454711	39			607.601999999999	-0.000525926250932772		0.180000000007567	infill_ei	0.447000000000116	0.00104004571916264	0.939644743581997	59
574	2648	0.0107792541633298	0.862995000740773	13	0.93861421776325	61			430.346999999994	-0.000232313954856062		0.302999999999884	infill_ei	0.481999999989057	0.000932612035149869	0.939966199356525	81
1626	1824	0.0110121212499952	0.332394136625449	9	0.93848212031084	63			541.962999999989	-8.25417867502598e-05		0.339999999996508	infill_ei	0.486999999993714	0.00219605932108122	0.937240354322446	83
413	855	0.0337896637729649	0.172483640955021	1	0.938241984840136	32			107.690999999992	-0.000276884684400081		0.203999999997905	infill_ei	0.429000000003725	0.00153993716757355	0.938055847204479	52
561	633	0.0152730274116804	0.775941233522997	2	0.93814202072314	19			173.308000000005	-0.000325972353056493		0.0509999999922002	infill_ei	0.404000000009546	0.00225047993393426	0.936287358797074	39
409	1125	0.0397787670779565	0.670622679360228	3	0.938080993321915	27			113.269	-0.00173131836532393		0.0350000000034925	infill_ei	0.422999999995227	0.00129303412137035	0.940590327451149	47
1098	2150	0.0395946321068905	0.488704642359484	5	0.938001060074592	30			161.184000000008	-0.000255485046807929		0.080999999991036	infill_ei	0.427999999999884	0.00285275763400574	0.936175052469176	50
497	1077	0.0130984049953228	0.730142747639628	1	0.937928795512179	23			268.804000000004	-0.000598758599654507		0.055000000007567	infill_ei	0.411000000007334	0.001220307501713	0.939128329825373	43
1151	1575	0.0124888489683396	0.180614843749098	2	0.937895164340359	49			354.354999999996	-5.91505277794241e-05		0.092000000004191	infill_ei	0.457999999998719	0.00152459175831132	0.938194953309811	69
1961	2984	0.0935588366584778	0.890285465590556	40	0.937844501208864	10			120.531000000003	-0.00137949054846222		0.036999999996624	infill_ei	0.384000000005472	0.00130570401809816	0.93894015748984	30
238	545	0.0618799829054502	0.747472343942147	2	0.93778568636903	51			76.3620000000083	-0.000550945414536801		0.0529999999998836	infill_ei	0.475000000005821	0.00251386594465076	0.93920083178507	71
614	1578	0.0350464165146357	0.764858992057286	10	0.937776590276666	31			149.441999999995	-0.00120246151773678		0.0599999999976717	infill_ei	0.431000000011409	0.00138884721618496	0.939932723039585	51
537	2060	0.0273844137744917	0.515426071449382	1	0.937757791529547	34			191.360000000001	-0.000430120258831267		0.104999999995925	infill_ei	0.432000000000699	0.00096266719357286	0.939101394772635	54
975	2867	0.0724280725100239	0.937791687503916	3	0.937688312291585	52			93.1159999999945	-0.000422761690747497		0.0670000000100117	infill_ei	0.468999999997322	0.00293946314615257	0.938243935593391	72
1149	2987	0.105131235573427	0.816086559265005	5	0.937676246547851	2			69.031999999992	-0.000239045579203258		0.0199999999895226	infill_ei	0.36699999999837	0.000698182296688515	0.937439261867323	22
1450	2764	0.0190192328806929	0.605886892735539	5	0.937671613454663	60			379.076000000001	-0.0007366163516594		0.06600000000617	infill_ei	0.487999999997555	0.00197118459978061	0.940188492800593	80
874	2411	0.0553068749838	0.714060477831045	2	0.937660918098883	29			113.62999999999	-0.000681969689530709		0.0310000000026776	infill_ei	0.430999999996857	0.00193303502659817	0.938733300040183	49
980	680	0.0351253699907743	0.608412871069056	2	0.937633958664987	17			180.343999999997	-5.87381406545551e-05		0.0800000000017462	infill_ei	0.399999999994179	0.00238176074977875	0.934093829971105	37
940	2969	0.0186258778965755	0.613344442174445	2	0.937583036141445	62			324.183000000005	-0.000664204287636669		0.14100000000326	infill_ei	0.493000000002212	0.000866972242984077	0.940807258722017	82
1048	2556	0.0982655294133469	0.807122381546958	4	0.937522161882485	1			80.8319999999949	-0.000722092304652743		0.0220000000117579	infill_ei	0.368000000002212	0.00149155124880589	0.932093604825884	21
917	1688	0.0407983097533755	0.362324659499733	3	0.937473976863316	70			127.009000000005	-0.000278685506321503		0.069999999992433	infill_ei	0.49199999999837	0.00173424296210365	0.939198221220409	90
1247	2326	0.0225098421541924	0.682780292991933	2	0.937446701115896	75			315.459000000003	-0.000410267674939661		0.0840000000025611	infill_ei	0.659999999988941	0.00209761760670267	0.940233708967987	95
147	2713	0.0215737831174445	0.432212334256454	1	0.937386280831376	72			153.672999999995	-0.00029536668244325		0.0759999999863794	infill_ei	0.514000000010128	0.00141144899915416	0.940643263377254	92
569	765	0.097405843164462	0.71352519859498	1	0.937333527928587	24			63.0510000000068	-0.000347248333664967		0.163000000000466	infill_ei	0.419000000008964	0.00136469854925755	0.93846468775306	44
1101	2995	0.0851309162382968	0.879273787027483	6	0.937298234313181	6			87.2599999999948	-0.000240596184020521		0.105999999999767	infill_ei	0.379000000000815	0.000680736801908258	0.937611861965844	26
1003	2855	0.107795267314021	0.996865143268823	6	0.937272057263318	3			72.6239999999962	-0.000240073862704913		0.0190000000002328	infill_ei	0.375	0.000752236178593266	0.937547415820897	23
951	1621	0.0221739566179818	0.709497651107565	1	0.937271832070032	26			282.260999999999	-0.00120746337051953		0.163000000000466	infill_ei	0.421000000002096	0.00117561279879206	0.940015060501347	46
1840	1791	0.0337888065466269	0.977908855536947	73	0.937265987790845	80			254.526000000013	-7.14514436990858e-05		0.408999999999651	infill_ei	0.529999999998836	0.00260583202555961	0.937313147345203	100
1732	1427	0.0101091317674991	0.916311830073582	6	0.937156921619819	76			694.845000000001	-2.85041422501128e-05		0.389999999999418	infill_ei	0.519000000000233	0.0029252167546602	0.935598706865651	96
1321	2217	0.0106000158428155	0.282583978744041	2	0.936909337350261	68			482.968000000008	-0.000126075960613914		0.120999999999185	infill_ei	0.502999999996973	0.00098315752832291	0.939539933078041	88
529	2731	0.117707271237052	0.667621045598358	38	0.936872918989295	36			61.8209999999963	-0.000195174924969547		0.0820000000094296	infill_ei	0.451999999990221	0.00301491426920508	0.936034168893168	56
846	831	0.055028632441216	0.887333279362078	4	0.936846151638022	22			116.877000000008	-0.000890734721104283		0.0669999999954598	infill_ei	0.414000000004307	0.00134484355659794	0.939521310767161	42
699	2336	0.0578226249629148	0.597893570580088	3	0.936741273980583	38			98.2220000000089	-0.00208723833988269		0.0470000000059372	infill_ei	0.438999999998487	0.00184920912315805	0.941387178146308	58
