Feature	Gain	Cover	Frequency
ctrx_quarter	0.108857846821807	0.0107661508071147	0.0119051603697684
mpasivos_margen_rank	0.0337816213432494	0.00912884010307231	0.0135613580324967
cpayroll_trx	0.0256684244386985	0.00617321351181136	0.000924793006283882
mprestamos_personales_rank	0.0192691577731321	0.0130237491273014	0.00310165161088776
mcaja_ahorro_rank	0.0191400565938275	0.00662047348500205	0.0101906982683065
numero_de_cliente	0.0191278783508349	0.010092723022288	0.0360111421441561
cliente_edad	0.0190589458528376	0.0125638039527376	0.0373846952955805
mpayroll_rank	0.0189843968237419	0.00866599660454099	0.00134318126314824
mcuentas_saldo_rank	0.0185102395465863	0.0112534423029387	0.0151072251623037
mrentabilidad_annual_rank	0.0178380440958372	0.0125346443051927	0.0266727162509437
Master_fechaalta	0.0143684925379216	0.00808848611108263	0.018753711258797
mtarjeta_visa_consumo_rank	0.0140444302415009	0.00621185064160636	0.00331301515991109
mcuenta_corriente_rank	0.0138570728135681	0.0126198217689189	0.0229704450535351
Visa_Fvencimiento	0.0136422175951705	0.00761328799971382	0.0232289160211091
cliente_antiguedad	0.0135248937408742	0.00826092391078128	0.0258725099700372
Master_Fvencimiento	0.0125790955916454	0.00952731930599739	0.0227014369002327
mactivos_margen_rank	0.0124138188081254	0.0110485253426665	0.0156520596479092
ctrx_quarter_lag1	0.0122194903426424	0.00461313510352642	0.00407727104244998
Visa_fechaalta	0.0119615574120286	0.00599665620772227	0.0182578436951059
Visa_msaldototal_rank	0.0102030859373849	0.00411052845352411	0.00353491589466285
mrentabilidad_rank	0.00955451898941988	0.00598087724276264	0.0166313980861991
chomebanking_transacciones	0.00899073077664889	0.00524825207082404	0.0125231353210185
active_quarter	0.00804048756313959	0.00197140911717838	0.00438842793866614
mrentabilidad_annual_rank_lag1	0.00787287586733928	0.00468268261384184	0.00839503785329014
Master_mfinanciacion_limite_rank	0.00758478419155292	0.00397536008222326	0.0129266475509721
mcomisiones_rank	0.00747640460170277	0.00304984568668035	0.0116950364896543
cliente_edad_lag1	0.00743870352522393	0.00675449200969619	0.0105904914915324
mcuenta_corriente_rank_lag1	0.00733372015053447	0.00584439591571406	0.00679896413265945
Visa_mfinanciacion_limite_rank	0.00731437970217186	0.00382498750479423	0.0144911097144175
mrentabilidad_annual_rank_delta1	0.00690890989502326	0.00511452376856003	0.0110677640215851
Visa_status	0.00665231614108635	0.0165829396900979	0.00108037145439196
mcuentas_saldo_rank_delta1	0.00664332688112801	0.00365569863725933	0.0085183849097583
mcomisiones_mantenimiento_rank	0.00642075081421573	0.00816919778656349	0.0071497904339709
cproductos	0.00628912925419525	0.0103547408697534	0.00940722751767458
Visa_mpagominimo_rank	0.00627398597029277	0.00395959544981564	0.00560020429743624
mcaja_ahorro_dolares_rank	0.0059392997724665	0.00484365958804451	0.0095826406683303
Visa_msaldopesos_rank	0.0057082668783352	0.00365743339296381	0.00323367634972052
mtransferencias_recibidas_rank	0.00566922879360267	0.00430897085964727	0.00653677415835779
mactivos_margen_rank_delta1	0.00560560275092236	0.00429727610810575	0.00944875642613371
ccomisiones_otras	0.00540674920132011	0.0041256890980926	0.00811487267980468
Visa_cconsumos	0.00519651233010263	0.00350060698484625	0.00701094751613739
ctarjeta_visa_transacciones	0.00502703563051472	0.00293968009991476	0.0040468991541739
cliente_antiguedad_lag1	0.00481311290744118	0.00397544838014202	0.0079369801913305
Master_mlimitecompra_rank	0.00473595498080163	0.00244116165764834	0.00551032830151723
cprestamos_personales	0.00468960199173794	0.00691851307696909	0.00207644542295644
Visa_Fvencimiento_lag1	0.00468396180310662	0.00338432572163554	0.00699049297913513
Master_Fvencimiento_lag1	0.0046405749559787	0.00317139225957845	0.00655598902645082
mcomisiones_otras_rank	0.00443737067470219	0.00271575404038854	0.00754028614037763
ctrx_quarter_delta1	0.00431772575794129	0.00502925034722339	0.00628140236305687
cdescubierto_preacordado	0.00410640668183215	0.0152058460540933	0.00167479269636665
mactivos_margen_rank_lag1	0.00410493222363551	0.00385276182895171	0.00526487385749014
mcaja_ahorro_rank_lag1	0.00406769296777166	0.00195311213429511	0.0035907009955781
mcuenta_corriente_rank_delta1	0.004066710109656	0.00388615996456465	0.00717582348106468
mrentabilidad_rank_delta1	0.0040076014405887	0.00391003075944324	0.00680640214611482
Visa_mfinanciacion_limite_rank_delta1	0.00392780437080356	0.00153114888043574	0.00442995684712527
Master_fechaalta_lag1	0.00391990710351176	0.00273340525956796	0.00538574157613985
ccomisiones_mantenimiento_delta1	0.00387028106082533	0.00199681593870429	0.000597520414247763
mttarjeta_visa_debitos_automaticos_rank	0.00381862864161418	0.0028636289474186	0.00474979142570602
mpasivos_margen_rank_delta1	0.00380467791340531	0.00296340456178696	0.00627768335632919
Visa_mlimitecompra_rank	0.00378575038938229	0.00224113031191538	0.00534173332986226
Visa_fechaalta_lag1	0.00367118602853544	0.00279465187267303	0.00494317977554555
mcuenta_debitos_automaticos_rank	0.00364625768827886	0.00405081377876464	0.00393160994561572
chomebanking_transacciones_delta1	0.00358746915091336	0.00208048604088715	0.00417582472073359
mautoservicio_rank	0.00354804753612184	0.00208990205763557	0.00324545320435818
chomebanking_transacciones_lag1	0.00348748732612189	0.00204533256708522	0.00387582484470048
Visa_mpagospesos_rank	0.00347086866815597	0.00233099729267406	0.00443739486058064
mpasivos_margen_rank_lag1	0.00346672068770064	0.00221331820621096	0.00437541141511925
mrentabilidad_rank_lag1	0.00345653211099076	0.00321881984896676	0.0059336752340185
mcuentas_saldo_rank_lag1	0.00345276406534837	0.00431156744815108	0.00460289065996254
ctarjeta_debito	0.00336040481741516	0.00590723325412394	0.00649834442217173
Visa_mconsumospesos_rank	0.00321723646448474	0.00253672589831751	0.00422851064937576
