num_leaves	num_iterations	learning_rate	feature_fraction	min_data_in_leaf	lambda_l1	lambda_l2	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	iter
1496	2468	0.0394181186561375	0.468489903683678	14	0.0698877464505752	19.8786334222757	0.938919380282496	82			386.652	-7.61149758678834e-05		0.290000000000873	infill_ei	0.67699999999968	0.000283287823318377	0.938420815292953	110
1023	2251	0.0494699940763644	0.582845158125113	17	0.00478283112213504	20.2587944140144	0.938504379451284	23			323.727	-0.000108484983282958		0.0740000000000691	infill_ei	0.503999999999905	0.000866450464844446	0.936687901887676	51
1643	2765	0.0267741193335347	0.387596861306701	7	0.0389761526706152	22.439473888042	0.93845309765922	88			760.653999999999	-1.56450329140472e-05		0.284999999999855	infill_ei	0.67699999999968	0.000307711749165836	0.938535485456648	116
1029	2034	0.0400169470516947	0.548413095044407	12	0.0382903300644828	20.0112468786662	0.93841731298086	78			484.369999999999	-0.000120499496198631		0.27599999999984	infill_ei	0.666000000001077	0.000215369538168354	0.938566450581969	106
816	2713	0.0112002980666707	0.425117156826947	3	0.704032932946621	10.8699938297121	0.938357833511656	90			869.271000000001	-5.33566061290946e-07		0.257000000001426	infill_ei	0.67699999999968	0.000502994731619505	0.937561392130544	118
1528	2564	0.0469364367641015	0.742929512049256	35	0.0196066886015983	22.3317303589792	0.93825191153814	97			277.311999999998	-1.37105584665979e-05		0.690999999998894	infill_ei	0.695999999999913	0.000640474581472165	0.937872407613439	125
1441	2059	0.0286989975524229	0.424453370642039	14	0.0337134515420163	12.4337493906184	0.938051568491294	75			459.579	-3.64032591127672e-05		0.265999999999622	infill_ei	0.652000000000044	0.000566306120025388	0.93786285248123	103
1582	2587	0.0805182359674432	0.458073346352063	11	0.0255465121875345	17.1107384258486	0.938043071142915	92			301.701999999998	-1.69591148034691e-05		0.672999999998865	infill_ei	0.690999999998894	0.000511054710719509	0.938180920030981	120
1154	2595	0.0409287570729309	0.463093351564613	3	0.345698430631452	12.0185226290237	0.938036345578224	94			440.776999999998	-4.6734362513732e-05		0.34599999999773	infill_ei	0.708999999998923	0.00024929875570763	0.938786216654381	122
1096	2237	0.0123343249893538	0.514072197281961	16	0.0118080103229034	34.9095798731678	0.937856672998751	35			794.752	-0.000237256896697416		0.261000000000422	infill_ei	0.567999999999302	0.000527616089953145	0.938555910279999	63
791	2436	0.0112258964028138	0.54090172223085	3	0.166077517074512	16.5381742777763	0.937730955911312	95			927.851000000002	-6.2909033384456e-05		0.275000000001455	infill_ei	0.695999999999913	0.000242897681569815	0.938841522208065	123
1288	1969	0.0442581271268896	0.942753542758535	2	0.0213922707436739	22.1609190411711	0.93771595476174	29			603.92	-0.000285072955947772		0.247000000000298	infill_ei	0.548999999999978	0.000850931270272919	0.938389390800792	57
721	1671	0.0663038097840564	0.668925386896873	5	0.784768179911552	22.6750231879794	0.937360938840149	20			229.967	-0.00016479906326935		0.0789999999997235	infill_ei	0.490999999999985	0.000786478872181993	0.936629840431515	48
754	2868	0.0258860904018054	0.706929592708698	5	0.0939709436599215	20.834667749507	0.937312207648568	70			586.690000000001	-4.52451717153511e-05		0.257999999999811	infill_ei	0.630000000001019	0.000539537904707823	0.9379666855067	98
566	2937	0.0130075478008922	0.425133430379525	63	0.0447702984648446	64.8211979801141	0.937127090817666	25			480.685	-1.87866619933777e-06		0.0910000000003492	infill_ei	0.507999999999811	0.00199251527728271	0.933053516443524	53
837	707	0.0506592621060761	0.672707830726414	121	0.043463545488998	22.1365015138194	0.936993771248726	15			109.555	-0.000194945165952088		0.0639999999998508	infill_ei	0.487999999999829	0.00112279430826603	0.935209413338396	43
883	2299	0.0532737866447132	0.643095843803713	8	0.0565550992351255	45.7093496161659	0.936886954927865	52			426.038000000001	-4.81980768774684e-05		0.15099999999984	infill_ei	0.596999999999753	0.000617255185322742	0.937866240298269	80
1928	2235	0.0468280834631174	0.555268412071623	29	0.073809777529253	21.1913825932538	0.936810954320578	99			334.012000000002	-0.00016246672291131		0.340000000000146	infill_ei	0.70600000000195	0.000489169220943582	0.938850105909518	127
1473	2740	0.0417524589160872	0.322128334378708	8	0.877825445015109	27.570647763704	0.936754958665368	96			236.578999999998	-1.40519600584422e-05		0.38300000000163	infill_ei	0.705999999998312	0.000477909809607201	0.938203202497692	124
