cp	maxdepth	minsplit	minbucket	ganancia_mean	qty	id
-0.1	5	200	400	281613333.333333	5	492
-0.01	5	800	400	281613333.333333	5	493
-0.01	5	400	400	281613333.333333	5	494
-0.01	5	200	400	281613333.333333	5	495
-0.001	5	800	400	281613333.333333	5	496
-0.001	5	400	400	281613333.333333	5	497
-0.001	5	200	400	281613333.333333	5	498
-2	6	600	300	281333333.333333	5	499
-2	6	100	300	281333333.333333	5	500
-1	6	600	300	281333333.333333	5	501
-1	6	100	300	281333333.333333	5	502
-0.5	6	600	300	281333333.333333	5	503
-0.5	6	100	300	281333333.333333	5	504
-0.1	6	600	300	281333333.333333	5	505
-0.1	6	100	300	281333333.333333	5	506
-0.01	6	600	300	281333333.333333	5	507
-0.01	6	100	300	281333333.333333	5	508
-0.001	6	600	300	281333333.333333	5	509
-0.001	6	100	300	281333333.333333	5	510
-2	4	1000	333.333333333333	281173333.333333	5	511
-1	4	1000	333.333333333333	281173333.333333	5	512
-0.5	4	1000	333.333333333333	281173333.333333	5	513
-0.1	4	1000	333.333333333333	281173333.333333	5	514
-0.01	4	1000	333.333333333333	281173333.333333	5	515
-0.001	4	1000	333.333333333333	281173333.333333	5	516
-2	10	1000	333.333333333333	281120000	5	517
-1	10	1000	333.333333333333	281120000	5	518
-0.5	10	1000	333.333333333333	281120000	5	519
-0.1	10	1000	333.333333333333	281120000	5	520
-0.01	10	1000	333.333333333333	281120000	5	521
-0.001	10	1000	333.333333333333	281120000	5	522
-2	5	800	266.666666666667	281066666.666667	5	523
-1	5	800	266.666666666667	281066666.666667	5	524
-0.5	5	800	266.666666666667	281066666.666667	5	525
-0.1	5	800	266.666666666667	281066666.666667	5	526
-0.01	5	800	266.666666666667	281066666.666667	5	527
-0.001	5	800	266.666666666667	281066666.666667	5	528
-2	8	50	150	280906666.666667	5	529
-1	8	50	150	280906666.666667	5	530
-0.5	8	50	150	280906666.666667	5	531
-0.1	8	50	150	280906666.666667	5	532
-0.01	8	50	150	280906666.666667	5	533
-0.001	8	50	150	280906666.666667	5	534
-2	4	200	66.6666666666667	280853333.333333	5	535
-1	4	200	66.6666666666667	280853333.333333	5	536
-0.5	4	200	66.6666666666667	280853333.333333	5	537
-0.1	4	200	66.6666666666667	280853333.333333	5	538
-0.01	4	200	66.6666666666667	280853333.333333	5	539
-0.001	4	200	66.6666666666667	280853333.333333	5	540
-2	4	50	150	280813333.333333	5	541
-1	4	50	150	280813333.333333	5	542
-0.5	4	50	150	280813333.333333	5	543
-0.1	4	50	150	280813333.333333	5	544
-0.01	4	50	150	280813333.333333	5	545
-0.001	4	50	150	280813333.333333	5	546
-2	5	600	300	280706666.666667	5	547
-2	5	100	300	280706666.666667	5	548
-1	5	600	300	280706666.666667	5	549
-1	5	100	300	280706666.666667	5	550
-0.5	5	600	300	280706666.666667	5	551
-0.5	5	100	300	280706666.666667	5	552
-0.1	5	600	300	280706666.666667	5	553
-0.1	5	100	300	280706666.666667	5	554
-0.01	5	600	300	280706666.666667	5	555
-0.01	5	100	300	280706666.666667	5	556
-0.001	5	600	300	280706666.666667	5	557
-0.001	5	100	300	280706666.666667	5	558
-2	4	600	200	280546666.666667	5	559
-1	4	600	200	280546666.666667	5	560
-0.5	4	600	200	280546666.666667	5	561
-0.1	4	600	200	280546666.666667	5	562
-0.01	4	600	200	280546666.666667	5	563
-0.001	4	600	200	280546666.666667	5	564
-2	8	2000	666.666666666667	280480000	5	565
-1	8	2000	666.666666666667	280480000	5	566
-0.5	8	2000	666.666666666667	280480000	5	567
-0.1	8	2000	666.666666666667	280480000	5	568
-0.01	8	2000	666.666666666667	280480000	5	569
-0.001	8	2000	666.666666666667	280480000	5	570
-2	12	600	200	280413333.333333	5	571
-1	12	600	200	280413333.333333	5	572
-0.5	12	600	200	280413333.333333	5	573
-0.1	12	600	200	280413333.333333	5	574
-0.01	12	600	200	280413333.333333	5	575
-0.001	12	600	200	280413333.333333	5	576
-2	12	800	400	280320000	5	577
-2	12	400	400	280320000	5	578
-2	12	200	400	280320000	5	579
-1	12	800	400	280320000	5	580
-1	12	400	400	280320000	5	581
-1	12	200	400	280320000	5	582
-0.5	12	800	400	280320000	5	583
-0.5	12	400	400	280320000	5	584
-0.5	12	200	400	280320000	5	585
-0.1	12	800	400	280320000	5	586
-0.1	12	400	400	280320000	5	587
-0.1	12	200	400	280320000	5	588
-0.01	12	800	400	280320000	5	589
-0.01	12	400	400	280320000	5	590
-0.01	12	200	400	280320000	5	591
-0.001	12	800	400	280320000	5	592
-0.001	12	400	400	280320000	5	593
-0.001	12	200	400	280320000	5	594
-2	14	800	400	280320000	5	595
-2	14	600	200	280320000	5	596
-2	14	400	400	280320000	5	597
-2	14	200	400	280320000	5	598
-1	14	800	400	280320000	5	599
-1	14	600	200	280320000	5	600
-1	14	400	400	280320000	5	601
-1	14	200	400	280320000	5	602
-0.5	14	800	400	280320000	5	603
-0.5	14	600	200	280320000	5	604
-0.5	14	400	400	280320000	5	605
-0.5	14	200	400	280320000	5	606
-0.1	14	800	400	280320000	5	607
-0.1	14	600	200	280320000	5	608
-0.1	14	400	400	280320000	5	609
-0.1	14	200	400	280320000	5	610
-0.01	14	800	400	280320000	5	611
-0.01	14	600	200	280320000	5	612
-0.01	14	400	400	280320000	5	613
-0.01	14	200	400	280320000	5	614
-0.001	14	800	400	280320000	5	615
-0.001	14	600	200	280320000	5	616
-0.001	14	400	400	280320000	5	617
-0.001	14	200	400	280320000	5	618
-2	16	800	400	280320000	5	619
-2	16	400	400	280320000	5	620
-2	16	200	400	280320000	5	621
-1	16	800	400	280320000	5	622
-1	16	400	400	280320000	5	623
-1	16	200	400	280320000	5	624
-0.5	16	800	400	280320000	5	625
-0.5	16	400	400	280320000	5	626
-0.5	16	200	400	280320000	5	627
-0.1	16	800	400	280320000	5	628
-0.1	16	400	400	280320000	5	629
-0.1	16	200	400	280320000	5	630
-0.01	16	800	400	280320000	5	631
-0.01	16	400	400	280320000	5	632
-0.01	16	200	400	280320000	5	633
-0.001	16	800	400	280320000	5	634
-0.001	16	400	400	280320000	5	635
-0.001	16	200	400	280320000	5	636
-2	20	800	400	280320000	5	637
-2	20	400	400	280320000	5	638
-2	20	200	400	280320000	5	639
-1	20	800	400	280320000	5	640
-1	20	400	400	280320000	5	641
-1	20	200	400	280320000	5	642
-0.5	20	800	400	280320000	5	643
-0.5	20	400	400	280320000	5	644
-0.5	20	200	400	280320000	5	645
-0.1	20	800	400	280320000	5	646
-0.1	20	400	400	280320000	5	647
-0.1	20	200	400	280320000	5	648
-0.01	20	800	400	280320000	5	649
-0.01	20	400	400	280320000	5	650
-0.01	20	200	400	280320000	5	651
-0.001	20	800	400	280320000	5	652
