num_iterations	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	iter
2998	0.0115257223703596	0.220209723886022	780	2	0.942476959860034	26			693.645	-0.000628680046793079		0.0349999999998545	infill_ei	0.417000000001281	0.00207193345736168	0.941444984847857	46
2182	0.00558472399453728	0.750072509526419	395	5	0.942262818297419	39			565.533	-0.000314943947158641		0.0619999999980792	infill_ei	0.449000000000524	0.00164706288287315	0.941617860169247	59
2346	0.00606214807272977	0.401873648836999	693	5	0.942202462608963	49			780.583000000002	-0.00103475307264556		0.04399999999805	infill_ei	0.458000000002357	0.00220827181171822	0.942769121754304	69
2953	0.01339610142757	0.388605494538073	493	1	0.942196444468693	27			736.563000000002	-0.000487209395534081		0.0339999999996508	infill_ei	0.425999999999476	0.00127964712678908	0.942429670872805	47
1981	0.0193079350603281	0.392537557836536	814	2	0.9419414858493	50			525.897000000001	-0.000249249854757702		0.044000000001688	infill_ei	0.469999999997526	0.000758728797776509	0.942363301843321	70
2999	0.00637830684805858	0.77616775401107	604	1	0.941876514979031	6			1036.77	-0.00115189498685131		0.0270000000000437	infill_ei	0.382000000000517	0.00162580779582955	0.941770470579623	26
1894	0.00544091774765809	0.42789127496641	574	3	0.941736151881186	36			590.883999999998	-0.000601249147166087		0.0580000000009022	infill_ei	0.434000000001106	0.00152652056996208	0.942461407750358	56
1707	0.0117371812976112	0.770814556976846	491	1	0.941650502726259	53			523.214	-0.000596129458241031		0.0430000000014843	infill_ei	0.470000000001164	0.00146770380549315	0.942498039788221	73
1620	0.0169671410443087	0.344960590849754	779	1	0.941558791643572	24			470.549999999999	-0.000315477195966576		0.0349999999998545	infill_ei	0.408999999999651	0.0019610566680912	0.940643101696154	44
2044	0.0142473946310198	0.383148456937608	341	3	0.94143026359779	72			478.833999999995	-0.00203484536254913		0.047999999995227	infill_ei	0.516999999999825	0.00100351207972187	0.944503723428727	92
2962	0.013309253965092	0.311722812801354	789	3	0.941312462668884	33			722.123000000003	-0.00104725576430256		0.0269999999982247	infill_ei	0.440000000002328	0.000594231603811633	0.943514509890582	53
1471	0.00925890159201767	0.864438180627897	383	1	0.941232291567806	77			384.663999999997	-0.000621300134946169		0.0619999999980792	infill_ei	0.533000000003085	0.00113325839903085	0.942782652231625	97
2978	0.00592569491406107	0.440650386560715	393	1	0.941166866398461	57			802.441999999999	-0.000642491849507799		0.0490000000027067	infill_ei	0.471999999997934	0.00107308609870215	0.942853553652255	77
1473	0.0156839113683282	0.813499707434474	739	2	0.941153518088214	19			506.846	-0.00123437122872258		0.0299999999988358	infill_ei	0.399999999999636	0.00346267914434337	0.941571744647455	39
2686	0.00515656513581467	0.636813198912666	594	1	0.941053660829689	14			894.264000000001	-0.00112049329482554		0.0410000000010768	infill_ei	0.39600000000064	0.00135569667577685	0.942796090338245	34
2997	0.0129823232924675	0.473112319907609	695	1	0.941036792022535	30			837.995999999999	-0.000493496015616193		0.0280000000020664	infill_ei	0.422999999998865	0.000552950319124956	0.942899737072092	50
2089	0.0122164721920359	0.391018845921934	943	4	0.941031739720056	79			661.065999999999	-0.00111780824462739		0.100999999995111	infill_ei	0.538000000000466	0.00108409313154497	0.94349314745691	99
1709	0.0184959309875885	0.380077294906516	596	23	0.940939746205299	85			479.749000000003	-0.000244267807353965		0.148000000001048	infill_ei	0.544000000001688	0.0010182027831312	0.942097238511809	105
2783	0.00826190200772578	0.701096864284994	934	4	0.940932483673291	5			969.159000000001	-0.00129684836630919		0.0160000000005311	infill_ei	0.371000000000095	0.00210960642629387	0.941116269600043	25
2237	0.0145080615986027	0.827506895300527	731	1	0.940926643503162	20			643.162999999999	-0.00052942620905711		0.0300000000006548	infill_ei	0.403999999998632	0.00144969352115308	0.941775894259716	40
